Job Title,Role,Level,year_of_experiences,Company,Location,Salary Range,Required Skills,Source Platform,Year Of Experiences
"Chuyên Viên Chính/chuyên Viên Cao Cấp Phân Tích Dữ Liệu và Quản Trị Hệ Thống (Thành thạo Excel, Sql,powerbi)","Chuyên Viên Chính/chuyên Viên Cao Cấp Phân Tích Dữ Liệu và Quản Trị Hệ Thống Thành thạo Excel, Sql,powerbi",,3 năm kinh nghiệm,Ngân Hàng TMCP Quốc Tế Việt Nam (VIB),"Sailing Tower, số 111A Pasteur, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",Thương lượng,"SQL, Power BI, Data reporting, Excel",https://www.vietnamworks.com/chuyen-vien-chinh-chuyen-vien-cao-cap-phan-tich-du-lieu-va-quan-tri-he-thong-thanh-thao-excel-sql-powerbi-1844200-jv?source=searchResults&searchType=2&placement=1844600&sortBy=date,
Experienced Automation Tester _ Freelancer (Location: Hà Nội),Experienced Automation Tester _ Freelancer Location: Hà Nội,,3 năm kinh nghiệm,Capgemini Vietnam,"Centre Point, 106 Nguyễn Văn Trỗi, Phường 08, Quận Phú Nhuận, Thành phố Hồ Chí Minh",Thương lượng,"Automation Testing, QA, QC, Software Testing, API Testing",https://www.vietnamworks.com/experienced-automation-tester-freelancer-location-ha-noi--1837201-jv?source=searchResults&searchType=2&placement=1837251&sortBy=date,
Android App Developer,Android App Developer,,5 năm kinh nghiệm,Cathay United Bank,"Taipei, Taiwan",Thương lượng,"Agile Development, CI/CD, Clean Architecture, MVVM Architecture, RESTful API",https://www.vietnamworks.com/android-app-developer-1839427-jv?source=searchResults&searchType=2&placement=1839627&sortBy=date,
Data Analyst,Data Analyst,,Không yêu cầu năm kinh nghiệm,Edge Consulting Engineers,"5th Floor, L'MAK 68 Building, 68 Phan Dang Luu, Phu Nhuan District, Hochiminh, Vietnam",Thương lượng,Data Analysis,https://www.vietnamworks.com/data-analyst--1838854-jv?source=searchResults&searchType=2&placement=1839104&sortBy=date,
Technical Support Specialist,Technical Support Specialist,,1 năm kinh nghiệm,CÔNG TY TNHH GETCOURSE VIỆT NAM,,Thương lượng,"Technical Support, Troubleshooting, Customer Support, CSS, SaaS",https://www.vietnamworks.com/technical-support-specialist-1844313-jv?source=searchResults&searchType=2&placement=1844713&sortBy=date,
Chuyên Viên Chính Sách Quản Lý Rủi Ro - Công Nghệ Thông Tin,Chuyên Viên Chính Sách Quản Lý Rủi Ro - Công Nghệ Thông Tin,,1 năm kinh nghiệm,Ngân Hàng TNHH Indovina – Hội Sở,"97A Nguyễn Văn Trỗi, P.11, Q. Phú Nhuận – Tp.HCM",Thương lượng,"IT Security GRC, Risk Compliance, IT Risk Management, IT Governance, IT Operations",https://www.vietnamworks.com/chuyen-vien-chinh-sach-quan-ly-rui-ro-cong-nghe-thong-tin--1842909-jv?source=searchResults&searchType=2&placement=1843509&sortBy=date,
Senior Full Stack Engineer Cloud Marketplace,Senior Full Stack Engineer Cloud Marketplace,Senior,5 năm kinh nghiệm,Bosch Global Software Technologies Company Limited,"Etown 2, 364 Cong Hoa street, ward 13, Tan Binh district, HCM",Thương lượng,"Java Spring Boot, Restful Apis, Cloud Native Applications, Frontend Frameworks, Sql And No-Sql Databases",https://www.vietnamworks.com/senior-full-stack-engineer-cloud-marketplace-1839373-jv?source=searchResults&searchType=2&placement=1839923&sortBy=date,
Supply Chain Digital BA (Management Level),Supply Chain Digital BA Management Level,,8 năm kinh nghiệm,HEINEKEN Vietnam,"Vietcombank Tower, 18th & 19th floor, 05 Cong Truong Me Linh, Ben Nghe Ward",Thương lượng,English,https://www.vietnamworks.com/supply-chain-digital-ba-management-level-1842067-jv?source=searchResults&searchType=2&placement=1842667&sortBy=date,
Foxconn Tuyển Gấp Kỹ Sư Phát Triển Phần Mềm Hệ Thống,Foxconn Tuyển Gấp Kỹ Sư Phát Triển Phần Mềm Hệ Thống,,Không yêu cầu năm kinh nghiệm,Công Ty TNHH Công Nghệ Chính Xác Fuyu,"Khu công nghiệp Quang Châu, Huyện Việt Yên, Bắc Giang","$ 500-1,000 /tháng","Lập Trình Backend, API, Systems Development, Database Development, English",https://www.vietnamworks.com/foxconn-tuyen-gap-ky-su-phat-trien-phan-mem-he-thong--1838776-jv?source=searchResults&searchType=2&placement=1838976&sortBy=date,
Chuyên Viên An Ninh Bảo Mật,Chuyên Viên An Ninh Bảo Mật,,1 năm kinh nghiệm,Công ty Cổ phần Chứng khoán Bảo Việt,"8 Phố Lê Thái Tổ, Hàng Trống, Hoàn Kiếm, Hà Nội, Việt Nam","$ 700-1,200 /tháng","An Toàn Thông Tin, Quản Lý Rủi Ro, An Ninh Mạng, CEH, IDS/IPS",https://www.vietnamworks.com/chuyen-vien-an-ninh-bao-mat-1841839-jv?source=searchResults&searchType=2&placement=1841939&sortBy=date,
Oracle Functional Consultant,Oracle Functional Consultant,,3 năm kinh nghiệm,Chi Nhánh Công Ty TNHH KPMG,"10Floor, 115 Nguyễn Huệ, Ho Chi Minh City, Ho Chi Minh, Vietnam",Thương lượng,"Analytical Thinking, Financial performance, Oracle Cloud, Order Management, Procurement",https://www.vietnamworks.com/oracle-functional-consultant--1837345-jv?source=searchResults&searchType=2&placement=1837745&sortBy=date,
Infrastructure Architect/ IT System (Manufacturing) - Open for Junior Level/freshers,Infrastructure Architect/ IT System Manufacturing - Open for Junior Level/freshers,Junior,1 năm kinh nghiệm,Unilever Vietnam,"156 Nguyen Luong Bang, Tan Phu Ward, Dist.7",Thương lượng,"Infrastructure, Automation, PLC, Network, Systems Architecture",https://www.vietnamworks.com/infrastructure-architect-it-system-manufacturing-open-for-junior-level-freshers--1825359-jv?source=searchResults&searchType=2&placement=1825609&sortBy=date,
SAP ABAP Developer,SAP ABAP Developer,,4 năm kinh nghiệm,Golden Gate Trade & Service JSC,"Tầng 6, tòa nhà Toyota Thanh Xuân, 315 Trường  Chinh, Hà Nội",Thương lượng,"SAP, ABAP, SAP HANA, FICO, API",https://www.vietnamworks.com/sap-abap-developer--1840579-jv?source=searchResults&searchType=2&placement=1840979&sortBy=date,
Senior Full Stack Java Web Developer,Senior Full Stack Java Web Developer,Senior,4 năm kinh nghiệm,Navigos Search's Client,Hanoi,$ 20tr-40tr /tháng,"Java, Spring, VueJS, Microservices, English Communication",https://www.vietnamworks.com/senior-full-stack-java-web-developer-1835608-jv?source=searchResults&searchType=2&placement=1836308&sortBy=date,
[Hot Job] Chuyên Gia Công Nghệ Thanh Toán,Hot Job Chuyên Gia Công Nghệ Thanh Toán,,5 năm kinh nghiệm,Công Ty Cổ Phần Thanh Toán Quốc Gia Việt Nam,"Tầng 2, Tầng 17 và tầng 18, tòa nhà Pacific Place, số 83B phố Lý Thường Kiệt, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Thành phố Hà Nội",Thương lượng,"Công Nghệ Thông Tin, Tiếng Anh, Thanh Toán Thẻ, Phát Triển Sản Phẩm, Thanh Toán Điện Tử",https://www.vietnamworks.com/hot-job-chuyen-gia-cong-nghe-thanh-toan-1822795-jv?source=searchResults&searchType=2&placement=1823045&sortBy=date,
Chuyên Gia Phát Triển Dịch Vụ (API) - Khối Ngân Hàng Số - (Ho24.279),Chuyên Gia Phát Triển Dịch Vụ API - Khối Ngân Hàng Số - Ho24.279,,Không yêu cầu năm kinh nghiệm,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,"19th – MB Building,18 Le Van Luong Str., Cau Giay Dist. Hanoi, Vietnam",Thương lượng,"Tài chính Ngân hàng, Giải Pháp Công Nghệ, Tư Vấn Dịch Vụ, API, Thanh Toán Điện Tử",https://www.vietnamworks.com/chuyen-gia-phat-trien-dich-vu-api-khoi-ngan-hang-so-ho24-279-1828012-jv?source=searchResults&searchType=2&placement=1828362&sortBy=date,
Database Administrator,Database Administrator,,3 năm kinh nghiệm,TL Consulting VN Co. Ltd,"I2- 09 Tòa nhà Golden King, số 15 đường Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Thương lượng,"Oracle Database Knowledge, DBA, Computer Hardware Troubleshooting, Software Troubleshooting, Computer Science",https://www.vietnamworks.com/database-administrator-1840941-jv?source=searchResults&searchType=2&placement=1841091&sortBy=date,
Data Engineer Consultant,Data Engineer Consultant,,Không yêu cầu năm kinh nghiệm,Chi Nhánh Công Ty TNHH KPMG,"10Floor, 115 Nguyễn Huệ, Ho Chi Minh City, Ho Chi Minh, Vietnam",Thương lượng,"Data Architecture, Data analysis, Data Models, Data Mining, Big Data",https://www.vietnamworks.com/data-engineer-consultant-1839229-jv?source=searchResults&searchType=2&placement=1839779&sortBy=date,
資料探勘工程師 / Data Engineer,資料探勘工程師 / Data Engineer,,Không yêu cầu năm kinh nghiệm,Avividai,,"$ 1,000-3,000 /tháng","Python, Mandarin Chinese",https://www.vietnamworks.com/cong-xiao-data-engineer-1842546-jv?source=searchResults&searchType=2&placement=1842896&sortBy=date,
Nhân Viên IT,Nhân Viên IT,,Không yêu cầu năm kinh nghiệm,"Adtec Plasma Technology Vietnam Co., Ltd","Lô J.2, Khu công nghiệp Quế Võ (khu vực mở rộng), phường Nam Sơn, thành phố Bắc Ninh, tỉnh Bắc Ninh",Thương lượng,"Công Nghệ Thông Tin, Microsoft Office 365, Python, C#, ASP.NET",https://www.vietnamworks.com/nhan-vien-it--1843767-jv?source=searchResults&searchType=2&placement=1844217&sortBy=date,
Chuyên Viên IT,Chuyên Viên IT,,Không yêu cầu năm kinh nghiệm,"Trường Quản Trị Và Kinh Doanh, ĐHQGHN","B1-144 Xuân Thủy, Cầu Giấy, Hà Nội",Thương lượng,"IT System Administration, IT Helpdesk, IT Administration, Helpdesk, Công Nghệ Thông Tin",https://www.vietnamworks.com/chuyen-vien-it--1842723-jv?source=searchResults&searchType=2&placement=1843323&sortBy=date,
"(JP-86) Thiết Kế Hệ Thống, Phát Triển Chương Trình","JP-86 Thiết Kế Hệ Thống, Phát Triển Chương Trình",,2 năm kinh nghiệm,Công Ty TNHH R Techno Việt Nam,"107 Đường Tân Cảng, Phường 25, Quận Bình Thạnh, TP.HCM","¥ 350,000-400,000 /tháng","Phát Triển Dự Án, SQL Server, SQL Server, Thiết Kế Hệ Thống, Tiếng Nhật, VB.NET",https://www.vietnamworks.com/-jp-86-thiet-ke-he-thong-phat-trien-chuong-trinh-1841271-jv?source=searchResults&searchType=2&placement=1841721&sortBy=date,
End User Technology Specialist,End User Technology Specialist,,5 năm kinh nghiệm,RMIT University Vietnam,"702 Nguyen Van Linh Boulevard, Tan Phong Ward, Dist.7, Ho Chi Minh City",Từ 33.014tr ₫/tháng,"Customer Service, End User Support, Hệ Thống Active Directory, IT Service Management, Microsoft Office 365",https://www.vietnamworks.com/end-user-technology-specialist-1843466-jv?source=searchResults&searchType=2&placement=1844016&sortBy=date,
Chuyên Viên Quản Trị Hệ Thống và Bảo Mật,Chuyên Viên Quản Trị Hệ Thống và Bảo Mật,,2 năm kinh nghiệm,Hyundai Thành Công Việt Nam (Hyundai.thanhcong.vn),"Thành Công Tower, 79 Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Thương lượng,"Hệ Thống Mạng, Bảo Mật Dữ Liệu, Giải Pháp Công Nghệ, Điện Tử Viễn Thông, VMware",https://www.vietnamworks.com/chuyen-vien-quan-tri-he-thong-va-bao-mat--1830525-jv?source=searchResults&searchType=2&placement=1830625&sortBy=date,
Chuyên Viên Quản Trị Cơ Sở Dữ Liệu (DBA),Chuyên Viên Quản Trị Cơ Sở Dữ Liệu DBA,,Không yêu cầu năm kinh nghiệm,Ngân Hàng TMCP Xuất Nhập Khẩu Việt Nam (Eximbank),"Tầng 8, tòa nhà Vincom center, số 72 Lê Thánh Tôn và 45A Lý Tự Trọng, Quận 1, TP.HCM","$ 1,000-2,000 /tháng","SLA Control, Công nghệ thông tin, Quản Trị Hệ Thống CNTT",https://www.vietnamworks.com/chuyen-vien-quan-tri-co-so-du-lieu-dba--1840855-jv?source=searchResults&searchType=2&placement=1841005&sortBy=date,
Bridge Project Manager (BPM),Bridge Project Manager BPM,,2 năm kinh nghiệm,Vitalify Asia,"224A-224B Điện Biên Phủ, Phường Võ Thị Sáu, Quận 3, Tp. HCM","Tới $ 2,500 /tháng","Project Management, Japanese N2, DevOps, Kaizen",https://www.vietnamworks.com/bridge-project-manager-bpm-1839407-jv?source=searchResults&searchType=2&placement=1839657&sortBy=date,
"(Night shift) Implementation Specialist (EDI, ERP, SAP, Supply chain)","Night shift Implementation Specialist EDI, ERP, SAP, Supply chain",,1 năm kinh nghiệm,"Truecommerce Vietnam Company, Limited","Helios Building, Quang Trung Software Complex, District 12",Thương lượng,"business analyst, Client Service, Customer Service Training, Project Management, Service Implementation",https://www.vietnamworks.com/-night-shift-implementation-specialist-edi-erp-sap-supply-chain-1842760-jv?source=searchResults&searchType=2&placement=1842860&sortBy=date,
BrSE (in Vietnam or Japan),BrSE in Vietnam or Japan,,3 năm kinh nghiệm,Hitachi Digital Services,"Floor 3rd, 4th Helios Building - Floor 9th QTSC9 Building, Quang Trung Software City, Tan Chanh Hiep Ward, District 12",Thương lượng,"Japanese Speaking, BrSE, Software Development Life Cycle (SDLC), Agile, English",https://www.vietnamworks.com/brse-in-vietnam-or-japan-1841900-jv?source=searchResults&searchType=2&placement=1842000&sortBy=date,
Project Manager,Project Manager,,5 năm kinh nghiệm,Mirae Asset Finance Company (Viet Nam) Ltd.,"1st Floor, SaiGon Royal, 91 Pasteur, Ben Nghe Ward, District 1",Thương lượng,"Quản Lý Dự Án, Project Management, IT Project Management, Core Banking Development",https://www.vietnamworks.com/project-manager--1844083-jv?source=searchResults&searchType=2&placement=1844533&sortBy=date,
Business Intelligence Analyst,Business Intelligence Analyst,,2 năm kinh nghiệm,"TrueCommerce Dicentral Vietnam Company, Limited","Helios Building, Quang Trung Software Complex, District 12",Thương lượng,"Data Analytics, Data Visualization, English, Power Automate, PowerBI, PowerBI",https://www.vietnamworks.com/business-intelligence-analyst-1842467-jv?source=searchResults&searchType=2&placement=1842617&sortBy=date,
Database Developer,Database Developer,,5 năm kinh nghiệm,Công Ty TNHH ActsOne Việt Nam,"Số 20 Đường 01, Khu Đô Thị Mới Him Lam, Phường Tân Hưng, Quận 7, Thành Phố Hồ Chí Minh",Thương lượng,"Database Technology, Mysql, MongoDB, Lập Trình, Sql Queries",https://www.vietnamworks.com/database-developer--1840741-jv?source=searchResults&searchType=2&placement=1841241&sortBy=date,
Senior .NET Engineer (Windows Application),Senior .NET Engineer Windows Application,Senior,3 năm kinh nghiệm,Koidra,"500 Yale Ave N, Seattle, WA 98109",Thương lượng,"C#, Application Development, WPF, NUnit, Analytical Skills",https://www.vietnamworks.com/senior-net-engineer-windows-application-1837513-jv?source=searchResults&searchType=2&placement=1837613&sortBy=date,
Chuyên Viên Kiểm Thử Phần Mềm,Chuyên Viên Kiểm Thử Phần Mềm,,Không yêu cầu năm kinh nghiệm,Công Ty Chứng Khoán Yuanta Việt Nam,"Tầng 4, Tòa Nhà Saigon Centre, 65 Lê Lợi, Quận 1, TP. HCM",2tr-22tr ₫/tháng,"Viết Test Case, Kiểm Thử Phần Mềm, Chứng khoán, Quản lý chất lượng, Test",https://www.vietnamworks.com/chuyen-vien-kiem-thu-phan-mem-1841947-jv?source=searchResults&searchType=2&placement=1842197&sortBy=date,
Game Tester,Game Tester,,1 năm kinh nghiệm,Athena Studio,"40A Lam Sơn, Phường 2, Quận Tân Bình, TPHCM",$ 400-500 /tháng,"Qa/Qc/Testing Experience, Bug Report Writing, Test Case Writing, Agile Methodology, Game Testing",https://www.vietnamworks.com/game-tester-1842850-jv?source=searchResults&searchType=2&placement=1843100&sortBy=date,
Information Service (IS) Engineer,Information Service IS Engineer,,1 năm kinh nghiệm,"TRIPOD VIETNAM (BIENHOA) ELECTRONIC CO., LTD.","No. 31, Street 3A, Bien Hoa Industrial Zone II, Dong Nai Province",Thương lượng,"Network Administration, CCNA, Cyber Security, Firewall, Linux",https://www.vietnamworks.com/information-service-is-engineer-1824775-jv?source=searchResults&searchType=2&placement=1825125&sortBy=date,
Senior Data Analyst,Senior Data Analyst,Senior,1 năm kinh nghiệm,Capgemini Vietnam,"Centre Point, 106 Nguyen Van Troi",Thương lượng,"Python, SQL, Data Analysis, ETL, Computer Science",https://www.vietnamworks.com/senior-data-analyst--1840704-jv?source=searchResults&searchType=2&placement=1840704&sortBy=date,
Manual Tester,Manual Tester,,2 năm kinh nghiệm,FPT Software,"[HCM]Lô T2, đường D1, khu Công nghệ cao, Quận 9, Tp.Hồ Chí Minh; [HN]Tòa nhà FPT, 17 Duy Tân, Cầu Giấy, Hà Nội; [DN] Tòa Nhà FPT Complex, Đường Nam Kỳ Khởi Nghĩa, Phường Hoà Hải, Quận Ngũ Hành Sơn, TP Đà Nẵng",Thương lượng,"Manual Testing, API Testing, SQL, Test execution, Postman",https://www.vietnamworks.com/manual-tester--1844903-jv?source=searchResults&searchType=2&placement=1844953&sortBy=date,
Senior QC Engineer,Senior QC Engineer,Senior,5 năm kinh nghiệm,Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,"Tầng 1, Pax Sky, 63-65 Ngô Thì Nhậm, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, TP Hà Nội, Việt Nam",Thương lượng,"AWS Cloud, CI/CD, English, Quality Assurance",https://www.vietnamworks.com/senior-qc-engineer-1835733-jv?source=searchResults&searchType=2&placement=1835983&sortBy=date,
Regional Information Security Officer for Viet Nam and Laos,Regional Information Security Officer for Viet Nam and Laos,,5 năm kinh nghiệm,The Deutsche Gesellschaft Für Internationale Zusammenarbeit (Giz),"6th Floor – Hanoi Towers, 49 Hai Ba Trung, Hanoi",Thương lượng,"English, Information security, ISO, Risk Management, System Management",https://www.vietnamworks.com/regional-information-security-officer-for-viet-nam-and-laos-1837445-jv?source=searchResults&searchType=2&placement=1837845&sortBy=date,
IT Server Engineer,IT Server Engineer,,2 năm kinh nghiệm,Navigos Search's Client,Hanoi,20tr-35tr ₫/tháng,"English Communication, Linux System Administration, Server Management, VMware, Windows Server",https://www.vietnamworks.com/it-server-engineer-1836055-jv?source=searchResults&searchType=2&placement=1836755&sortBy=date,
